"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Kettlebell Swings";"Mobility";"Cable Machine";"Core";"Push";"Triceps, Shoulders, Hamstrings, Biceps, Quadriceps";"Perform the movement by engaging your Triceps, Shoulders, Hamstrings, Biceps, Quadriceps and keeping proper form. Avoid overextending."
"Overhead Press";"Mobility";"Cable Machine";"Lower Body";"Push";"Rear Deltoids, Shoulders, Glutes";"Perform the movement by engaging your Rear Deltoids, Shoulders, Glutes and keeping proper form. Avoid overextending."
"Push-Ups";"Mobility";"Kettlebells";"Lower Body";"Static";"Lats, Triceps, Chest";"Hold the position steadily, ensuring your Lats, Triceps, Chest remain activated without losing alignment."
"Russian Twists";"Warm-up";"Cable Machine";"Full Body";"Pull";"Chest, Hamstrings, Abs, Glutes";"Pull the cable machine towards you using your Chest, Hamstrings, Abs, Glutes, and return to the starting position with control."
"Deadlifts";"Cardio";"Bodyweight";"Lower Body";"Pull";"Core, Lats";"Pull the bodyweight towards you using your Core, Lats, and return to the starting position with control."
"Overhead Press";"Cardio";"Pull-Up Bar";"Core";"Push";"Traps, Core, Hip Flexors, Hamstrings";"Perform the movement by engaging your Traps, Core, Hip Flexors, Hamstrings and keeping proper form. Avoid overextending."
"Tricep Dips";"Cardio";"None";"Upper Body";"Static";"Rear Deltoids, Core";"Hold the position steadily, ensuring your Rear Deltoids, Core remain activated without losing alignment."
"Bicep Curls";"Cardio";"Cable Machine";"Full Body";"Static";"Chest, Shoulders, Hip Flexors, Lats";"Hold the position steadily, ensuring your Chest, Shoulders, Hip Flexors, Lats remain activated without losing alignment."
"Tricep Dips";"Mobility";"Barbell";"Core";"Push";"Chest, Triceps";"Perform the movement by engaging your Chest, Triceps and keeping proper form. Avoid overextending."
"Deadlifts";"Cardio";"Resistance Band";"Upper Body";"Push";"Lats, Biceps";"Perform the movement by engaging your Lats, Biceps and keeping proper form. Avoid overextending."
"Overhead Press";"Cardio";"Medicine Ball";"Full Body";"Push";"Rear Deltoids, Triceps, Quadriceps, Hamstrings";"Perform the movement by engaging your Rear Deltoids, Triceps, Quadriceps, Hamstrings and keeping proper form. Avoid overextending."
"Squats";"Mobility";"None";"Core";"Push";"Forearms, Quadriceps, Glutes, Lats, Hamstrings";"Perform the movement by engaging your Forearms, Quadriceps, Glutes, Lats, Hamstrings and keeping proper form. Avoid overextending."
"Push-Ups";"Cardio";"Barbell";"Core";"Hold";"Triceps, Quadriceps, Forearms, Hip Flexors";"Maintain a stable position, keeping your Triceps, Quadriceps, Forearms, Hip Flexors engaged throughout the duration."
"Wall Sit";"Strength";"Dumbbells";"Full Body";"Hold";"Core, Hip Flexors, Glutes";"Maintain a stable position, keeping your Core, Hip Flexors, Glutes engaged throughout the duration."
"Bench Press";"Cardio";"None";"Upper Body";"Pull";"Hip Flexors, Glutes, Biceps";"Pull the your body towards you using your Hip Flexors, Glutes, Biceps, and return to the starting position with control."
"Leg Raises";"Cardio";"Medicine Ball";"Lower Body";"Static";"Traps, Core, Abs, Lats";"Hold the position steadily, ensuring your Traps, Core, Abs, Lats remain activated without losing alignment."
"Tricep Dips";"Cardio";"Barbell";"Upper Body";"Pull";"Triceps, Shoulders, Lower Back";"Pull the barbell towards you using your Triceps, Shoulders, Lower Back, and return to the starting position with control."
"Kettlebell Swings";"Mobility";"Dumbbells";"Upper Body";"Pull";"Biceps, Traps, Abs";"Pull the dumbbells towards you using your Biceps, Traps, Abs, and return to the starting position with control."
"Deadlifts";"Mobility";"Medicine Ball";"Full Body";"Pull";"Triceps, Biceps, Shoulders, Glutes";"Pull the medicine ball towards you using your Triceps, Biceps, Shoulders, Glutes, and return to the starting position with control."
"Dumbbell Rows";"Cardio";"Medicine Ball";"Full Body";"Pull";"Biceps, Glutes, Chest";"Pull the medicine ball towards you using your Biceps, Glutes, Chest, and return to the starting position with control."
"Burpees";"Cardio";"Kettlebells";"Lower Body";"Hold";"Triceps, Lats, Glutes, Shoulders";"Maintain a stable position, keeping your Triceps, Lats, Glutes, Shoulders engaged throughout the duration."
"Jumping Jacks";"Strength";"Bodyweight";"Lower Body";"Pull";"Lats, Core, Rear Deltoids, Shoulders, Glutes";"Pull the bodyweight towards you using your Lats, Core, Rear Deltoids, Shoulders, Glutes, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Barbell";"Lower Body";"Push";"Hamstrings, Quadriceps, Shoulders, Traps, Lower Back";"Perform the movement by engaging your Hamstrings, Quadriceps, Shoulders, Traps, Lower Back and keeping proper form. Avoid overextending."
"Lunges";"Mobility";"Medicine Ball";"Upper Body";"Push";"Hip Flexors, Core, Chest, Lower Back";"Perform the movement by engaging your Hip Flexors, Core, Chest, Lower Back and keeping proper form. Avoid overextending."
"Plank";"Strength";"Kettlebells";"Upper Body";"Hold";"Traps, Lower Back";"Maintain a stable position, keeping your Traps, Lower Back engaged throughout the duration."
"Deadlifts";"Warm-up";"Cable Machine";"Upper Body";"Pull";"Glutes, Shoulders, Hamstrings";"Pull the cable machine towards you using your Glutes, Shoulders, Hamstrings, and return to the starting position with control."
"Resistance Band Pull";"Warm-up";"Dumbbells";"Upper Body";"Pull";"Hip Flexors, Core";"Pull the dumbbells towards you using your Hip Flexors, Core, and return to the starting position with control."
"Deadlifts";"Warm-up";"Dumbbells";"Full Body";"Static";"Glutes, Traps, Chest";"Hold the position steadily, ensuring your Glutes, Traps, Chest remain activated without losing alignment."
"Squats";"Mobility";"Cable Machine";"Upper Body";"Pull";"Biceps, Shoulders";"Pull the cable machine towards you using your Biceps, Shoulders, and return to the starting position with control."
"Burpees";"Warm-up";"None";"Full Body";"Static";"Core, Lower Back";"Hold the position steadily, ensuring your Core, Lower Back remain activated without losing alignment."
"Burpees";"Cardio";"Barbell";"Upper Body";"Push";"Lower Back, Hamstrings, Chest";"Perform the movement by engaging your Lower Back, Hamstrings, Chest and keeping proper form. Avoid overextending."
"Jumping Jacks";"Strength";"Barbell";"Lower Body";"Static";"Lats, Shoulders, Chest, Glutes";"Hold the position steadily, ensuring your Lats, Shoulders, Chest, Glutes remain activated without losing alignment."
"Overhead Press";"Cardio";"Dumbbells";"Core";"Hold";"Traps, Hip Flexors";"Maintain a stable position, keeping your Traps, Hip Flexors engaged throughout the duration."
"Side Plank";"Strength";"Pull-Up Bar";"Full Body";"Static";"Lats, Triceps";"Hold the position steadily, ensuring your Lats, Triceps remain activated without losing alignment."
"Leg Raises";"Strength";"None";"Lower Body";"Hold";"Core, Chest";"Maintain a stable position, keeping your Core, Chest engaged throughout the duration."
"Russian Twists";"Strength";"None";"Core";"Static";"Traps, Hamstrings, Triceps";"Hold the position steadily, ensuring your Traps, Hamstrings, Triceps remain activated without losing alignment."
"Mountain Climbers";"Mobility";"Barbell";"Lower Body";"Hold";"Lats, Quadriceps, Lower Back, Rear Deltoids";"Maintain a stable position, keeping your Lats, Quadriceps, Lower Back, Rear Deltoids engaged throughout the duration."
"Jumping Jacks";"Strength";"Barbell";"Lower Body";"Hold";"Forearms, Chest";"Maintain a stable position, keeping your Forearms, Chest engaged throughout the duration."
"Jumping Jacks";"Strength";"Kettlebells";"Upper Body";"Push";"Quadriceps, Core";"Perform the movement by engaging your Quadriceps, Core and keeping proper form. Avoid overextending."
"Russian Twists";"Warm-up";"Bodyweight";"Full Body";"Push";"Lower Back, Core";"Perform the movement by engaging your Lower Back, Core and keeping proper form. Avoid overextending."
"Side Plank";"Cardio";"Kettlebells";"Core";"Hold";"Forearms, Biceps, Traps, Shoulders";"Maintain a stable position, keeping your Forearms, Biceps, Traps, Shoulders engaged throughout the duration."
"Plank";"Mobility";"Medicine Ball";"Full Body";"Static";"Lower Back, Shoulders, Biceps, Core";"Hold the position steadily, ensuring your Lower Back, Shoulders, Biceps, Core remain activated without losing alignment."
"Side Plank";"Cardio";"Cable Machine";"Core";"Hold";"Quadriceps, Chest";"Maintain a stable position, keeping your Quadriceps, Chest engaged throughout the duration."
"Dumbbell Rows";"Mobility";"Kettlebells";"Full Body";"Push";"Abs, Traps, Triceps, Lower Back";"Perform the movement by engaging your Abs, Traps, Triceps, Lower Back and keeping proper form. Avoid overextending."
"Burpees";"Warm-up";"Barbell";"Lower Body";"Static";"Core, Traps, Quadriceps, Triceps";"Hold the position steadily, ensuring your Core, Traps, Quadriceps, Triceps remain activated without losing alignment."
"Bench Press";"Cardio";"Resistance Band";"Core";"Static";"Traps, Abs, Biceps, Rear Deltoids, Quadriceps";"Hold the position steadily, ensuring your Traps, Abs, Biceps, Rear Deltoids, Quadriceps remain activated without losing alignment."
"Push-Ups";"Mobility";"Resistance Band";"Core";"Static";"Hamstrings, Chest";"Hold the position steadily, ensuring your Hamstrings, Chest remain activated without losing alignment."
"Overhead Press";"Mobility";"Cable Machine";"Lower Body";"Static";"Abs, Lower Back";"Hold the position steadily, ensuring your Abs, Lower Back remain activated without losing alignment."
"Mountain Climbers";"Cardio";"Medicine Ball";"Full Body";"Hold";"Biceps, Abs, Triceps";"Maintain a stable position, keeping your Biceps, Abs, Triceps engaged throughout the duration."
"Burpees";"Strength";"Resistance Band";"Full Body";"Push";"Abs, Biceps, Glutes";"Perform the movement by engaging your Abs, Biceps, Glutes and keeping proper form. Avoid overextending."
"Bench Press";"Mobility";"Barbell";"Core";"Pull";"Hamstrings, Quadriceps";"Pull the barbell towards you using your Hamstrings, Quadriceps, and return to the starting position with control."
"Burpees";"Cardio";"Barbell";"Lower Body";"Hold";"Abs, Lower Back, Hamstrings, Quadriceps, Shoulders";"Maintain a stable position, keeping your Abs, Lower Back, Hamstrings, Quadriceps, Shoulders engaged throughout the duration."
"Russian Twists";"Cardio";"Bodyweight";"Lower Body";"Push";"Shoulders, Traps, Glutes, Hip Flexors";"Perform the movement by engaging your Shoulders, Traps, Glutes, Hip Flexors and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"Cable Machine";"Lower Body";"Hold";"Traps, Lats";"Maintain a stable position, keeping your Traps, Lats engaged throughout the duration."
"Side Plank";"Cardio";"Medicine Ball";"Core";"Static";"Chest, Shoulders";"Hold the position steadily, ensuring your Chest, Shoulders remain activated without losing alignment."
"Burpees";"Cardio";"Bodyweight";"Upper Body";"Hold";"Lats, Hamstrings, Core, Abs, Rear Deltoids";"Maintain a stable position, keeping your Lats, Hamstrings, Core, Abs, Rear Deltoids engaged throughout the duration."
"Push-Ups";"Mobility";"Medicine Ball";"Upper Body";"Pull";"Shoulders, Core, Chest, Hamstrings, Hip Flexors";"Pull the medicine ball towards you using your Shoulders, Core, Chest, Hamstrings, Hip Flexors, and return to the starting position with control."
"Russian Twists";"Cardio";"Dumbbells";"Upper Body";"Static";"Glutes, Chest, Rear Deltoids, Biceps, Hip Flexors";"Hold the position steadily, ensuring your Glutes, Chest, Rear Deltoids, Biceps, Hip Flexors remain activated without losing alignment."
"Pull-Ups";"Mobility";"None";"Core";"Hold";"Traps, Hip Flexors";"Maintain a stable position, keeping your Traps, Hip Flexors engaged throughout the duration."
"Side Plank";"Warm-up";"Medicine Ball";"Upper Body";"Static";"Forearms, Hip Flexors";"Hold the position steadily, ensuring your Forearms, Hip Flexors remain activated without losing alignment."
"Side Plank";"Mobility";"Barbell";"Core";"Static";"Hamstrings, Lats";"Hold the position steadily, ensuring your Hamstrings, Lats remain activated without losing alignment."
"Jumping Jacks";"Strength";"Resistance Band";"Full Body";"Hold";"Lower Back, Glutes, Shoulders, Triceps, Quadriceps";"Maintain a stable position, keeping your Lower Back, Glutes, Shoulders, Triceps, Quadriceps engaged throughout the duration."
"Bicep Curls";"Warm-up";"Medicine Ball";"Lower Body";"Push";"Quadriceps, Glutes, Chest, Hip Flexors, Traps";"Perform the movement by engaging your Quadriceps, Glutes, Chest, Hip Flexors, Traps and keeping proper form. Avoid overextending."
"Bench Press";"Warm-up";"Dumbbells";"Upper Body";"Static";"Traps, Core";"Hold the position steadily, ensuring your Traps, Core remain activated without losing alignment."
"Mountain Climbers";"Strength";"None";"Lower Body";"Static";"Hip Flexors, Core, Shoulders, Glutes";"Hold the position steadily, ensuring your Hip Flexors, Core, Shoulders, Glutes remain activated without losing alignment."
"Bicep Curls";"Strength";"Cable Machine";"Lower Body";"Push";"Forearms, Shoulders, Glutes, Rear Deltoids";"Perform the movement by engaging your Forearms, Shoulders, Glutes, Rear Deltoids and keeping proper form. Avoid overextending."
"Mountain Climbers";"Warm-up";"None";"Full Body";"Push";"Traps, Biceps, Hip Flexors, Hamstrings";"Perform the movement by engaging your Traps, Biceps, Hip Flexors, Hamstrings and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Warm-up";"Bodyweight";"Lower Body";"Push";"Biceps, Hip Flexors";"Perform the movement by engaging your Biceps, Hip Flexors and keeping proper form. Avoid overextending."
"Jumping Jacks";"Mobility";"Pull-Up Bar";"Upper Body";"Hold";"Hip Flexors, Core, Lats, Chest, Traps";"Maintain a stable position, keeping your Hip Flexors, Core, Lats, Chest, Traps engaged throughout the duration."
"Kettlebell Swings";"Cardio";"Cable Machine";"Upper Body";"Push";"Core, Biceps, Lower Back, Hip Flexors, Abs";"Perform the movement by engaging your Core, Biceps, Lower Back, Hip Flexors, Abs and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Mobility";"Resistance Band";"Full Body";"Pull";"Traps, Biceps";"Pull the resistance band towards you using your Traps, Biceps, and return to the starting position with control."
"Russian Twists";"Warm-up";"Bodyweight";"Core";"Pull";"Rear Deltoids, Biceps, Triceps, Lower Back, Forearms";"Pull the bodyweight towards you using your Rear Deltoids, Biceps, Triceps, Lower Back, Forearms, and return to the starting position with control."
"Wall Sit";"Warm-up";"Kettlebells";"Lower Body";"Hold";"Core, Abs, Quadriceps, Glutes, Rear Deltoids";"Maintain a stable position, keeping your Core, Abs, Quadriceps, Glutes, Rear Deltoids engaged throughout the duration."
"Russian Twists";"Cardio";"Medicine Ball";"Full Body";"Pull";"Rear Deltoids, Biceps, Quadriceps, Forearms";"Pull the medicine ball towards you using your Rear Deltoids, Biceps, Quadriceps, Forearms, and return to the starting position with control."
"Burpees";"Strength";"Bodyweight";"Upper Body";"Pull";"Forearms, Rear Deltoids, Glutes, Traps, Triceps";"Pull the bodyweight towards you using your Forearms, Rear Deltoids, Glutes, Traps, Triceps, and return to the starting position with control."
